Date,RARP_volBands,RP_naive,VT_naive
2010-01-06,0.0,0.0,0.0
2010-01-07,0.0,0.0,0.0
2010-01-08,0.0,0.0,0.0
2010-01-11,0.0,0.0,0.0
2010-01-12,0.0,0.0,0.0
2010-01-13,0.0,0.0,0.0
2010-01-14,0.0,0.0,0.0
2010-01-15,0.0,0.0,0.0
2010-01-19,0.0,0.0,0.0
2010-01-20,0.0,0.0,0.0
2010-01-21,0.0,0.0,0.0
2010-01-22,0.0,0.0,0.0
2010-01-25,0.0,0.0,0.0
2010-01-26,0.0,0.0,0.0
2010-01-27,0.0,0.0,0.0
2010-01-28,0.0,0.0,0.0
2010-01-29,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0
2010-02-02,0.0,0.0,0.0
2010-02-03,0.0,0.0,0.0
2010-02-04,0.0,0.0,0.0
2010-02-05,0.0,0.0,0.0
2010-02-08,0.0,0.0,0.0
2010-02-09,0.0,0.0,0.0
2010-02-10,0.0,0.0,0.0
2010-02-11,0.0,0.0,0.0
2010-02-12,0.0,0.0,0.0
2010-02-16,0.0,0.0,0.0
2010-02-17,0.0,0.0,0.0
2010-02-18,0.0,0.0,0.0
2010-02-19,0.0,0.0,0.0
2010-02-22,0.0,0.0,0.0
2010-02-23,0.0,0.0,0.0
2010-02-24,0.0,0.0,0.0
2010-02-25,0.0,0.0,0.0
2010-02-26,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0
2010-03-02,0.0,0.0,0.0
2010-03-03,0.0,0.0,0.0
2010-03-04,0.0,0.0,0.0
2010-03-05,0.0,0.0,0.0
2010-03-08,0.0,0.0,0.0
2010-03-09,0.0,0.0,0.0
2010-03-10,0.0,0.0,0.0
2010-03-11,0.0,0.0,0.0
2010-03-12,0.0,0.0,0.0
2010-03-15,0.0,0.0,0.0
2010-03-16,0.0,0.0,0.0
2010-03-17,0.0,0.0,0.0
2010-03-18,0.0,0.0,0.0
2010-03-19,0.0,0.0,0.0
2010-03-22,0.0,0.0,0.0
2010-03-23,0.0,0.0,0.0
2010-03-24,0.0,0.0,0.0
2010-03-25,0.0,0.0,0.0
2010-03-26,0.0,0.0,0.0
2010-03-29,0.0,0.0,0.0
2010-03-30,0.0,0.0,0.0
2010-03-31,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0
2010-04-05,0.0,0.0,0.0
2010-04-06,0.0,0.0,0.0
2010-04-07,0.0,0.0,0.0
2010-04-08,0.0,0.0,0.0
2010-04-09,0.0,0.0,0.0
2010-04-12,0.0,0.0,0.0
2010-04-13,0.0,0.0,0.0
2010-04-14,0.0,0.0,0.0
2010-04-15,0.0,0.0,0.0
2010-04-16,0.0,0.0,0.0
2010-04-19,0.0,0.0,0.0
2010-04-20,0.0,0.0,0.0
2010-04-21,0.0,0.0,0.0
2010-04-22,0.0,0.0,0.0
2010-04-23,0.0,0.0,0.0
2010-04-26,0.0,0.0,0.0
2010-04-27,0.0,0.0,0.0
2010-04-28,0.0,0.0,0.0
2010-04-29,0.0,0.0,0.0
2010-04-30,0.0,0.0,0.0
2010-05-03,0.0,0.0,0.0
2010-05-04,0.0,0.0,0.0
2010-05-05,0.0,0.0,0.0
2010-05-06,0.0,0.0,0.0
2010-05-07,0.0,0.0,0.0
2010-05-10,0.0,0.0,0.0
2010-05-11,0.0,0.0,0.0
2010-05-12,0.0,0.0,0.0
2010-05-13,0.0,0.0,0.0
2010-05-14,0.0,0.0,0.0
2010-05-17,-0.000489366742588559,-0.0004999999999999999,-0.0005
2010-05-18,0.0005814868146925674,-0.0001447569303237699,-5.31883086483979e-05
2010-05-19,-0.0003272632495011536,-0.0005294658263295025,-0.00031547720088807694
2010-05-20,0.0004115694701457155,-0.0006660635026693621,-0.0003272567809397989
2010-05-21,0.00026621354085062536,0.0002633263017800326,0.00018865925847554014
2010-05-24,9.50558737991155e-06,1.3605043828750089e-05,1.9833693452921497e-05
2010-05-25,0.0005412248793061462,0.00029029710849166174,0.0002551527580013294
2010-05-26,1.7922979560331228e-05,0.00021454230301937163,0.00018833361896843337
2010-05-27,-0.0009810190627649398,-8.046349848932612e-05,-0.0003061554101415911
2010-05-28,0.000568760175088719,0.00016699303058565943,0.00023974369360497258
2010-06-01,-0.0003112761205799013,-0.00022598997283968723,-0.00018248402115803822
2010-06-02,-3.966696904725682e-05,0.00048035703526483364,0.000318936514915927
